Particle #,Steps,Kill Event,Charge,Starting Global x-Position (mm),Starting Global y-Position (mm),Starting Global z-Position (mm),Ending Calorimeter x-Position (mm),Ending Calorimeter y-Position (mm),Starting Momentum (GeV/c),Ending Momentum (GeV/c),Delta Momentum (GeV/c),Steps Inside Short Quad,Distance Inside Short Quad (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside Long Quad,Distance Inside Long Quad (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside Standoff Plate,Distance Inside Standoff Plate (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside HV Standoff,Distance Inside HV Standoff (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside HV Standoff Screws,Distance Inside HV Standoff Screws (cm),Total # of Photons Released,# of Detectable Photons Released,dt,Pair Produced,Kill Timestamp,x Calorimeter Angle,y Calorimeter Angle,Total Calorimeter Angle
0,5516,Calorimeter Top Contact,1.0,4559.518,-5474.716,-9.040,0.0,0.0,2.0815971,2.0816228,0.0000257,0.0,0.0,0,0,18.0,0.539626408141,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,5.516000e-09,0,0,0
0,7857,Calorimeter Contact,1.0,-6398.335,3118.333,-24.356,-0.016619761959,-0.0190891218102,2.1071063,1.7190114,-0.3880949,20.0,0.599584894382,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,7.857000e-09,1.71083446452,1.57304746535,1.38100560323
0,7529,Calorimeter Top Contact,1.0,-6008.839,-3779.490,30.621,0.0,0.0,2.5928074,2.5928331,0.0000257,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,7.529000e-09,0,0,0
0,8030,Calorimeter Contact,1.0,2371.729,-6708.105,-5.930,-0.0577894091946,-0.00556879507735,2.3244922,2.3244984,0.0000063,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,8.030000e-09,1.6342458086,1.57095809386,1.45770082426
0,12255,Inner Limit Reached,1.0,4755.940,5292.608,16.677,0.0,0.0,2.5816058,0.8922999,-1.6893059,0.0,0.0,0,0,30.0,0.899377317359,2,1,9.0,0.269813167956,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,1.225500e-08,0,0,0
0,5705,Calorimeter Contact,1.0,-3427.833,6235.032,-14.457,-0.0508017304811,-0.0165334875845,1.8198872,1.8199132,0.0000260,0.0,0.0,0,0,16.0,0.479667913892,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,5.705000e-09,1.69103729066,1.56963703113,1.40083595985
0,10046,Calorimeter Contact,1.0,-7095.875,703.571,-1.259,-0.0159778610687,0.000478535726687,2.2991416,2.2991416,0.0000000,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,1.004600e-08,1.6585780639,1.57137318582,1.43333783591
0,9567,Inner Limit Reached,1.0,836.028,7072.087,5.305,0.0,0.0,1.9814009,1.9814009,-0.0000000,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,9.567000e-09,0,0,0
0,10650,Calorimeter Contact,1.0,5384.389,4661.752,-27.974,0.0623730593117,-0.0249827004465,2.2312592,2.2312859,0.0000268,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,1.065000e-08,1.6893737078,1.5718186786,1.40250233609
0,4649,Calorimeter Top Contact,1.0,6700.063,-2350.049,-29.664,0.0,0.0,1.8807753,1.8807753,0.0000000,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,4.649000e-09,0,0,0
0,5091,Calorimeter Top Contact,1.0,-5554.104,-4450.817,15.735,0.0,0.0,2.0835615,1.8958155,-0.1877460,0.0,0.0,0,0,19.0,0.569605650258,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,5.091000e-09,0,0,0
0,8861,Calorimeter Contact,1.0,-7015.249,1039.221,-9.718,-0.00315402449837,-0.00592960488826,2.2806548,2.2806548,0.0000000,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,8.861000e-09,1.65023056328,1.5722221271,1.44169162562
0,7542,Calorimeter Top Contact,1.0,7117.542,171.388,8.446,0.0,0.0,2.5693694,2.5693694,0.0000000,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,7.542000e-09,0,0,0
