Photon #,Steps,Kill Event,Starting Global x-Position,Starting Global y-Position,Starting Global z-Position,Ending Calorimeter x-Position (mm),Ending Calorimeter y-Position (mm),Energy (GeV),Steps Inside Matter,Distance Inside Matter (cm),dt,Kill Timestamp,x Calorimeter Angle,y Calorimeter Angle,Total Calorimeter Angle
0,8547,Heading Out,-6.55035657931,-2.63895110171,-0.0222809880145,0.0,0.0,0.138725988695,38,0.011392113403999999,1e-12,1.5253e-08,0,0,0
0,8401,Heading Out,-2.92043276911,6.42969691003,-0.0137068504638,0.0,0.0,0.748817283954,37,0.011092320946,1e-12,1.2114e-08,0,0,0
0,8201,Heading Out,3.06769094838,-6.36045275787,0.0101134765926,0.0,0.0,0.0588062747745,28,0.008394188824,1e-12,1.4002e-08,0,0,0
1,3192,Calorimeter Contact,2.7265462538,-6.48358047063,0.00966073077206,-0.100650179991,0.00846637978765,0.0571831501181,50,0.0149896229,1e-12,1.0203e-08,1.46928876167,1.56954823414,1.51872085971
2,13,Pair-Production in Standoff Plate,2.72455009131,-6.48422794925,0.00965811158137,0.0,0.0,0.0551652936374,13,0.003897301954,1e-12,7.031e-09,0,0,0
3,3176,Calorimeter Contact,2.7219832248,-6.48505927433,0.00965474405048,-0.0997989967583,0.00846637978779,0.224005718352,33,0.009893151114,1e-12,1.0203e-08,1.47017417041,1.56954823384,1.51960722989
4,3149,Calorimeter Contact,2.7142798891,-6.48754478236,0.00964464145787,-0.0982030105105,0.00846637978809,0.169681259981,6,0.001798754748,1e-12,1.0203e-08,1.47184585303,1.56954823332,1.52128071904
5,3146,Calorimeter Contact,2.71342370159,-6.48782013903,0.00964351894758,-0.0980109139919,0.00846637978813,0.0808572671205,3,0.000899377374,1e-12,1.0203e-08,1.47204804212,1.56954823326,1.52148312584
0,49,Pair-Production in Standoff Plate,-4.18879867078,5.65058949124,-0.0244537373282,0.0,0.0,0.918844110427,49,0.014689830442,1e-12,5.518e-09,0,0,0
1,2650,Calorimeter Contact,-4.18167477159,5.65502934839,-0.0244446772954,-0.0964957155209,-0.0235872098426,0.187139951972,37,0.011092320946,1e-12,8.147e-09,1.48890459017,1.57187564827,1.53836092248
0,7587,Heading Out,2.90499613517,-6.43677583313,0.00685995838793,0.0,0.0,0.624006269495,64,0.019186717312,1e-12,1.3364e-08,0,0,0
0,7141,Heading Out,3.46169750884,-6.15520114979,0.000654533816005,0.0,0.0,0.111169648731,89,0.026681528762,1e-12,1.8353e-08,0,0,0
0,7798,Heading Out,-4.56701014792,-5.38647232333,-0.005994153214,0.0,0.0,0.25617637672,59,0.017687755022,1e-12,1.2327e-08,0,0,0
0,9188,Heading Out,-6.22894479355,-3.32718646017,-0.00239161355266,0.0,0.0,0.0843232923314,41,0.012291490778,1e-12,1.2911e-08,0,0,0
0,3103,Calorimeter Contact,0.906074394712,6.97534964287,-0.0211567491807,-0.0683394918316,-0.0224281683489,0.382805298445,9,0.0026981321219999997,1e-12,9.382e-09,1.50664345857,1.56942958599,1.55610721987
0,5334,Heading Out,-3.36295477611,6.20964971268,-0.000989802976953,0.0,0.0,0.0717796203267,13,0.003897301954,1e-12,2.4316e-08,0,0,0
1,6958,Heading Out,-3.65706006307,6.04092916817,-0.000456835868113,0.0,0.0,0.621806004134,109,0.032677377922,1e-12,2.4809e-08,0,0,0
0,8424,Heading Out,-2.94490360488,6.40386056156,-0.00116766027423,0.0,0.0,0.258596018007,73,0.021884849434,1e-12,1.4292e-08,0,0,0
0,8704,Heading Out,4.63683386439,5.32602333453,-0.00847164274686,0.0,0.0,0.341628344573,5,0.0014989622899999999,1e-12,1.2188e-08,0,0,0
0,8122,Heading Out,5.19798034981,-4.77997837882,-0.0180956359712,0.0,0.0,0.110069350857,8,0.002398339664,1e-12,1.3877e-08,0,0,0
